hotel_code,business_date,total_rooms,current_rooms_sold,current_occupancy,current_adr,current_lead_time,pickup_rate,event_weight,forecast_occupancy,forecast_rooms,forecast_adr,forecast_revpar,has_event,event_count,total_visitors,event_names
hotel_a,2025-07-20,315,140.0,0.4444,245.52,20,0.19845339845339846,0.0,0.6428533984533985,202.5,245.52,157.83,False,0,0.0,
hotel_a,2025-07-24,315,128.0,0.4063,252.31,24,0.21848460181793514,0.0,0.6247846018179352,196.8,252.31,157.64,False,0,0.0,
hotel_a,2025-09-18,315,82.0,0.2603,255.99,80,0.3541717541717541,0.00031746031746031746,0.6147892144892144,193.7,255.99,157.38,True,1,100.0,Breaking Cycles: Jewish Generational Trauma and Psychedelic Healing
hotel_a,2025-09-05,315,88.0,0.2794,253.53,67,0.3392246642246642,0.0,0.6186246642246642,194.9,253.53,156.84,False,0,0.0,
hotel_a,2025-07-16,315,130.0,0.4127,268.86,16,0.17045177045177046,0.0,0.5831517704517705,183.7,268.86,156.79,False,0,0.0,
hotel_a,2025-08-31,315,94.0,0.2984,246.85,62,0.33347578347578344,0.0,0.6318757834757834,199.0,246.85,155.98,False,0,0.0,
hotel_a,2025-09-28,315,43.0,0.1365,237.92,90,0.3656695156695156,0.15,0.6521695156695156,205.4,237.92,155.16,True,4,131700.0,The Other Art Fair | Abbot Kinney Festival | HerStory Talks with Historian Nina Fresco
hotel_a,2025-09-06,315,86.0,0.273,251.64,68,0.3403744403744403,0.0,0.6133744403744403,193.2,251.64,154.35,False,0,0.0,
hotel_a,2025-08-27,315,78.0,0.2476,263.03,58,0.3271279337946004,0.0,0.5747279337946004,181.0,263.03,151.17,False,0,0.0,
hotel_b,2025-07-06,238,87.0,0.3655,253.12,6,0.0997322005725367,0.11638655462184874,0.5816187551943854,138.4,253.12,147.22,True,4,27700.0,Traffic Records Forum | Sowa Open Market - July | Magnet Technology Conference
hotel_a,2025-08-17,315,81.0,0.2571,260.68,48,0.3068864468864469,0.0,0.5639864468864468,177.7,260.68,147.02,False,0,0.0,
hotel_a,2025-08-18,315,77.0,0.2444,265.07,49,0.30891059557726225,0.0,0.5533105955772623,174.3,265.07,146.67,False,0,0.0,
hotel_a,2025-07-22,315,111.0,0.3524,260.46,22,0.20979740424184867,0.0,0.5621974042418487,177.1,260.46,146.43,False,0,0.0,
hotel_a,2025-08-20,315,73.0,0.2317,260.79,51,0.31295889295889295,0.0,0.5446588929588929,171.6,260.79,142.04,False,0,0.0,
hotel_a,2025-08-19,315,71.0,0.2254,263.73,50,0.3109347442680776,0.0,0.5363347442680776,168.9,263.73,141.45,False,0,0.0,
hotel_a,2025-09-21,315,61.0,0.1937,254.02,83,0.35762108262108255,0.0,0.5513210826210826,173.7,254.02,140.05,False,0,0.0,
hotel_a,2025-09-16,315,49.0,0.1556,275.68,78,0.3518722018722018,0.0,0.5074722018722018,159.9,275.68,139.9,False,0,0.0,
hotel_a,2025-09-17,315,54.0,0.1714,263.53,79,0.353021978021978,0.0,0.524421978021978,165.2,263.53,138.2,False,0,0.0,
hotel_a,2025-07-02,315,190.0,0.6032,219.51,2,0.02557706843421129,0.0,0.6287770684342112,198.1,219.51,138.02,False,0,0.0,
hotel_a,2025-07-12,315,132.0,0.419,246.32,12,0.1373277516134659,0.0009523809523809524,0.5572801325658469,175.5,246.32,137.27,True,1,300.0,SMC Conference
hotel_a,2025-07-06,315,175.0,0.5556,214.71,6,0.07673120530263387,0.0,0.6323312053026339,199.2,214.71,135.77,False,0,0.0,
hotel_a,2025-09-15,315,45.0,0.1429,269.96,77,0.3507224257224257,0.00025396825396825396,0.4938763939763939,155.6,269.96,133.33,True,1,80.0,Let's Talk: Perimenopause and Menopause at WUUM!
hotel_a,2025-08-22,315,71.0,0.2254,245.47,53,0.31700719034052366,0.0,0.5424071903405236,170.9,245.47,133.14,False,0,0.0,
hotel_a,2025-07-08,315,133.0,0.4222,253.83,8,0.0990813419384848,0.0009523809523809524,0.5222337228908658,164.5,253.83,132.56,True,1,300.0,SMC Conference
hotel_a,2025-07-13,315,127.0,0.4032,240.89,13,0.14688935403221115,0.0,0.5500893540322112,173.3,240.89,132.51,False,0,0.0,
hotel_a,2025-09-07,315,53.0,0.1683,259.12,69,0.3415242165242165,0.0,0.5098242165242165,160.6,259.12,132.11,False,0,0.0,
hotel_a,2025-09-27,315,55.0,0.1746,230.51,89,0.3645197395197395,0.031746031746031744,0.5708657712657712,179.8,230.51,131.59,True,1,10000.0,The Other Art Fair
hotel_a,2025-09-09,315,51.0,0.1619,259.28,71,0.34382376882376875,0.0012698412698412698,0.5069936100936101,159.7,259.28,131.45,True,1,400.0,Gide Annual Global Symposium
hotel_a,2025-09-11,315,44.0,0.1397,267.89,73,0.34612332112332106,0.0012698412698412698,0.4870931623931623,153.4,267.89,130.49,True,1,400.0,Gide Annual Global Symposium
hotel_a,2025-09-12,315,47.0,0.1492,261.1,74,0.34727309727309724,0.0012698412698412698,0.4977429385429385,156.8,261.1,129.96,True,1,400.0,Gide Annual Global Symposium
hotel_a,2025-08-21,315,64.0,0.2032,250.18,52,0.3149830416497083,0.00031746031746031746,0.5185005019671686,163.3,250.18,129.72,True,1,100.0,Psychedelics & 12 Step Recovery Symposium
hotel_a,2025-07-07,315,156.0,0.4952,219.9,7,0.08951973951973952,0.0009523809523809524,0.5856721204721204,184.5,219.9,128.79,True,1,300.0,SMC Conference
hotel_a,2025-08-25,315,56.0,0.1778,256.87,56,0.3230796364129697,0.0,0.5008796364129697,157.8,256.87,128.66,False,0,0.0,
hotel_a,2025-09-08,315,48.0,0.1524,258.81,70,0.3426739926739926,0.0012698412698412698,0.4963438339438339,156.3,258.81,128.46,True,1,400.0,Gide Annual Global Symposium
hotel_a,2025-09-23,315,56.0,0.1778,238.64,85,0.35992063492063486,0.0,0.5377206349206349,169.4,238.64,128.32,False,0,0.0,
hotel_a,2025-09-22,315,51.0,0.1619,245.79,84,0.35877085877085874,0.0,0.5206708587708587,164.0,245.79,127.98,False,0,0.0,
hotel_a,2025-08-26,315,52.0,0.1651,259.38,57,0.32510378510378507,0.0,0.49020378510378504,154.4,259.38,127.15,False,0,0.0,
hotel_a,2025-09-04,315,63.0,0.2,235.83,66,0.338074888074888,0.0,0.538074888074888,169.5,235.83,126.89,False,0,0.0,
